Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Apocalypse Now,1979-08-15,8.8,813,Francis Ford Coppola,2 h 33 m,Drama
We Were Here,2011-09-09,6.5,57,"David Weissman 
    
      Bill Weber",1 h 30 m,Documentary
Faces Places,2017-10-06,7.0,87,"JR 
    
      Agnès Varda",1 h 29 m,Documentary
Days of Heaven,1978-09-13,8.3,177,Terrence Malick,1 h 34 m,Drama
Past Lives,2023-06-02,8.0,250,Celine Song,1 h 46 m,Drama
The Lord of the Rings: The Return of the King,2003-12-17,8.9,3220,Peter Jackson,3 h 21 m,Action
Call Me by Your Name,2017-11-24,8.0,1251,Luca Guadagnino,2 h 12 m,Drama
Trenque Lauquen Parte II,2023-04-21,5.5,4,Laura Citarella,2 h 13 m,Drama
Trenque Lauquen Parte I,2023-04-21,7.4,5,Laura Citarella,2 h 9 m,Drama
Carlos,2010-10-15,8.3,121,Olivier Assayas,5 h 25 m,Biography
Marriage Story,2019-11-06,8.1,694,Noah Baumbach,2 h 17 m,Drama
The French Connection,1971-10-07,8.4,233,William Friedkin,1 h 44 m,Action
La La Land,2016-12-09,8.4,2531,Damien Chazelle,2 h 8 m,Comedy
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1978-10-04,6.5,17,Chantal Akerman,3 h 22 m,Drama
Petite Maman,2021-12-03,7.7,57,Céline Sciamma,1 h 12 m,Drama
Lady Bird,2017-11-03,7.6,1087,Greta Gerwig,1 h 34 m,Comedy
Reversal of Fortune,1990-10-17,8.0,39,Barbet Schroeder,1 h 51 m,Biography
David Byrne’s American Utopia,2020-10-17,7.4,34,Spike Lee,1 h 45 m,Documentary
Shoplifters,2018-11-23,8.6,317,Hirokazu Koreeda,2 h 1 m,Crime
Toni Erdmann,2016-12-25,7.1,197,Maren Ade,2 h 42 m,Comedy
The Discreet Charm of the Bourgeoisie,1972-10-22,8.6,57,Luis Buñuel,1 h 42 m,Comedy
Uncut Gems,2019-12-13,7.2,737,"Benny Safdie 
    
      Josh Safdie",2 h 15 m,Crime
Inside Llewyn Davis,2013-12-06,7.8,585,"Ethan Coen 
    
      Joel Coen",1 h 44 m,Drama
Our Body,2023-08-04,4.9,18,Claire Simon,2 h 48 m,Documentary
Days of Being Wild (re-release),2004-11-19,8.1,52,Kar-Wai Wong,1 h 34 m,Crime
Sherpa,2015-10-02,7.8,24,Jennifer Peedom,1 h 36 m,Documentary
There Will Be Blood,2007-12-26,8.7,1108,Paul Thomas Anderson,2 h 38 m,Drama
Tristana (re-release),2013-02-22,8.1,30,Luis Buñuel,1 h 35 m,Drama
The Last Picture Show,1971-10-22,8.2,45,Peter Bogdanovich,1 h 58 m,Drama
Hard to Be a God,2015-01-30,5.3,45,Aleksey German,2 h 50 m,Drama
Do the Right Thing,1989-06-30,8.2,216,Spike Lee,2 h,Comedy
Sita Sings the Blues,2009-12-25,7.2,48,Nina Paley,1 h 22 m,Animation
The Decline of Western Civilization,1981-07-05,7.3,12,Penelope Spheeris,1 h 40 m,Documentary
Brother's Keeper,1992-09-09,7.8,12,"Joe Berlinger 
    
      Bruce Sinofsky",1 h 44 m,Documentary
Badlands,1973-10-15,8.3,178,Terrence Malick,1 h 34 m,Action
Sankofa,1993-05-28,5.9,7,Haile Gerima,2 h 5 m,Drama
Crumb,1995-04-28,8.3,41,Terry Zwigoff,1 h 59 m,Documentary
No Bears,2022-12-23,7.5,22,Jafar Panahi,1 h 46 m,Drama
Spotlight,2015-11-06,8.1,1047,Tom McCarthy,2 h 8 m,Biography
Solaris (1972),1976-10-06,7.9,126,Andrei Tarkovsky,2 h 47 m,Drama
Late Spring (1949),1972-07-21,7.9,11,Yasujirô Ozu,1 h 48 m,Comedy
One More Time with Feeling,2016-09-08,7.8,53,Andrew Dominik,1 h 52 m,Documentary
The Diving Bell and the Butterfly,2007-11-30,8.4,160,Julian Schnabel,1 h 52 m,Biography
Close-Up,1999-12-31,8.6,32,Abbas Kiarostami,1 h 38 m,Biography
The Class,2008-12-19,7.9,60,Laurent Cantet,2 h 8 m,Drama
Platoon,1986-12-19,8.3,208,Oliver Stone,2 h,Drama
No Country for Old Men,2007-11-09,8.5,1329,"Ethan Coen 
    
      Joel Coen",2 h 2 m,Crime
Chinatown,1974-06-20,8.6,399,Roman Polanski,2 h 10 m,Drama
35 Shots of Rum,2009-09-16,7.0,33,Claire Denis,1 h 40 m,Drama
Apocalypse Now: Final Cut,2019-08-15,8.0,58,Francis Ford Coppola,3 h 2 m,Drama
Umberto D (re-release),2002-02-15,8.2,35,Vittorio De Sica,1 h 29 m,Drama
The Florida Project,2017-10-06,7.4,405,Sean Baker,1 h 51 m,Drama
Timbuktu,2015-01-28,7.3,88,Abderrahmane Sissako,1 h 37 m,Drama
Frenzy,1972-06-21,7.6,36,Alfred Hitchcock,1 h 56 m,Thriller
