Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
The Last Temptation of Christ,1988-08-12,7.5,102,Martin Scorsese,2 h 44 m,Drama
Neon Bull,2016-04-08,7.5,37,Gabriel Mascaro,1 h 41 m,Drama
On the Ropes,1999-09-24,8.0,4,"Nanette Burstein 
    
      Brett Morgen",1 h 34 m,Documentary
Wendy and Lucy,2008-12-10,6.4,34,Kelly Reichardt,1 h 20 m,Drama
X,2022-03-18,3.0,10,Rintarô,1 h 37 m,Animation
X,2000-03-24,3.0,10,Rintarô,1 h 37 m,Animation
The Sparks Brothers,2021-06-18,6.6,31,Edgar Wright,2 h 20 m,Documentary
Little Girl,2021-09-17,4.9,11,Sébastien Lifshitz,1 h 28 m,Documentary
The Wrestler,2008-12-17,8.1,284,Darren Aronofsky,1 h 49 m,Drama
The Hours,2002-12-27,7.8,152,Stephen Daldry,1 h 54 m,Drama
Knock Down the House,2019-05-01,0.6,822,Rachel Lears,1 h 26 m,Documentary
Junebug,2005-08-03,8.4,53,Phil Morrison,1 h 46 m,Comedy
Dinner in America,2022-05-27,7.8,16,Adam Rehmeier,1 h 46 m,Comedy
Café Lumière,2005-06-10,7.5,6,Hsiao-Hsien Hou,1 h 43 m,Drama
Fiddler: A Miracle of Miracles,2019-08-23,7.2,6,Max Lewkowicz,PG-13,Documentary
Marcel the Shell with Shoes On,2022-06-24,8.2,85,Dean Fleischer Camp,1 h 29 m,Animation
Good Time,2017-08-11,7.7,307,"Benny Safdie 
    
      Josh Safdie",1 h 41 m,Crime
"Food, Inc.",2009-06-12,8.1,52,Robert Kenner,1 h 34 m,Documentary
Everlasting Moments,2009-03-06,7.0,10,Jan Troell,2 h 11 m,Drama
The Secret World of Arrietty,2012-02-17,8.1,299,Hiromasa Yonebayashi,1 h 34 m,Animation
The Wound,2017-08-16,6.4,7,John Trengove,1 h 28 m,Drama
Perfect Days,2023-11-10,8.2,89,Wim Wenders,2 h 3 m,Drama
Central Station,1998-11-20,8.6,83,Walter Salles,1 h 53 m,Drama
Four Daughters,2023-10-27,7.5,11,Kaouther Ben Hania,1 h 47 m,Documentary
"20,000 Species of Bees",2024-06-14,9.0,16,Estibaliz Urresola Solaguren,2 h 5 m,Drama
Passages,2023-08-04,6.5,27,Ira Sachs,1 h 31 m,Drama
The Queen of Versailles,2012-07-20,8.1,36,Lauren Greenfield,1 h 40 m,Documentary
Theeb,2015-11-06,7.2,29,Naji Abu Nowar,1 h 40 m,Adventure
Incendies,2011-04-22,8.2,210,Denis Villeneuve,2 h 10 m,Drama
The Wild Parrots of Telegraph Hill,2005-02-11,3.8,6,Judy Irving,1 h 23 m,Documentary
The Color of Paradise,2000-03-24,8.1,23,Majid Majidi,1 h 30 m,Drama
Nine Queens,2002-04-19,8.3,52,Fabián Bielinsky,1 h 54 m,Crime
A Fish Called Wanda,1988-07-29,8.4,152,"Charles Crichton 
    
      John Cleese",1 h 48 m,Comedy
Totally Under Control,2020-10-13,6.7,19,"Alex Gibney 
    
      Ophelia Harutyunyan 
    
      Suzanne Hillinger",2 h 3 m,Documentary
Incredibles 2,2018-06-15,7.7,1015,Brad Bird,1 h 58 m,Animation
She's Beautiful When She's Angry,2014-12-05,7.8,6,Mary Dore,Not Rated,Documentary
Gleason,2016-07-29,8.0,13,Clay Tweel,1 h 50 m,Documentary
Casino Royale,2006-11-17,8.8,1160,Martin Campbell,2 h 24 m,Action
Bill Traylor: Chasing Ghosts,2021-04-16,4.5,4,Jeffrey Wolf,1 h 15 m,Documentary
Much Ado About Nothing,1993-07-02,7.5,67,Joss Whedon,1 h 49 m,Comedy
Much Ado About Nothing,2013-06-07,7.5,67,Joss Whedon,1 h 49 m,Comedy
Big Night,1996-09-20,8.1,26,"Campbell Scott 
    
      Stanley Tucci",1 h 47 m,Drama
Cinema Paradiso,1990-03-01,8.6,204,Giuseppe Tornatore,2 h 35 m,Drama
The Strange Little Cat,2014-08-01,7.7,9,Ramon Zürcher,1 h 12 m,Comedy
Saraband,2005-07-08,7.9,23,Ingmar Bergman,1 h 47 m,Drama
Ad Astra,2019-09-20,6.2,929,James Gray,2 h 3 m,Adventure
On the Beach at Night Alone,2017-11-17,7.5,11,Hong Sang-soo,1 h 41 m,Drama
In the Company of Men,1997-08-01,6.5,15,Neil LaBute,1 h 37 m,Comedy
Nine Lives,2005-10-14,6.3,6,Rodrigo García,1 h 55 m,Drama
Nine Lives,2016-08-05,6.3,6,Rodrigo García,1 h 55 m,Drama
Charlie: The Life and Art of Charles Chaplin,2004-02-13,7.9,20,Richard Schickel,2 h 12 m,Documentary
Pervert Park,2016-05-20,4.0,10,"Frida Barkfors 
    
      Lasse Barkfors",1 h 17 m,Documentary
Nossa Chape,2018-06-01,7.2,6,"Jeff Zimbalist 
    
      Michael Zimbalist 
    
      Julián Camilo Duque",1 h 41 m,Documentary
Taste of Cherry,1998-03-20,7.7,33,Abbas Kiarostami,1 h 35 m,Drama
A Bronx Tale,1993-09-23,8.4,187,Robert De Niro,2 h 1 m,Crime
Bugsy,1991-12-20,8.1,19,Barry Levinson,2 h 16 m,Biography
American Honey,2016-09-30,7.0,118,Andrea Arnold,2 h 43 m,Adventure
"Monrovia, Indiana",2018-10-26,6.0,4,Frederick Wiseman,2 h 23 m,Documentary
Cabaret,1972-02-13,7.9,86,Bob Fosse,2 h 4 m,Drama
Peter and the Farm,2016-11-04,7.5,4,Tony Stone,1 h 31 m,Documentary
True Grit,2010-12-22,7.7,782,"Ethan Coen 
    
      Joel Coen",1 h 50 m,Drama
Mystery Train,1989-11-17,8.1,7,Jim Jarmusch,1 h 50 m,Comedy
A Hidden Life,2019-12-13,7.3,87,Terrence Malick,2 h 54 m,Biography
Arrebato (1979),2021-10-01,6.2,5,Iván Zulueta,1 h 45 m,Drama
The Meyerowitz Stories (New and Selected),2017-10-13,7.0,132,Noah Baumbach,1 h 52 m,Comedy
The Secret in Their Eyes,2010-04-16,8.4,182,Juan José Campanella,2 h 7 m,Drama
Bigger Stronger Faster*,2008-05-30,6.6,10,Chris Bell,1 h 45 m,Documentary
The Blair Witch Project,1999-07-16,7.0,406,"Daniel Myrick 
    
      Eduardo Sánchez",1 h 21 m,Horror
What Richard Did,2013-05-10,6.6,14,Lenny Abrahamson,1 h 28 m,Drama
End of the Century,2019-08-16,5.2,5,"Jim Fields 
    
      Michael Gramaglia",1 h 50 m,Documentary
End of the Century,2004-08-20,5.2,5,"Jim Fields 
    
      Michael Gramaglia",1 h 50 m,Documentary
Housekeeping for Beginners,2024-04-05,5.1,8,Goran Stolevski,1 h 47 m,Comedy
I Wish,2012-05-11,6.8,17,Hirokazu Koreeda,2 h 8 m,Drama
Iris,2015-04-29,7.0,18,Richard Eyre,1 h 31 m,Biography
Iris,2001-12-14,7.0,18,Richard Eyre,1 h 31 m,Biography
Star Wars: Episode VII - The Force Awakens,2015-12-18,6.6,8181,J.J. Abrams,2 h 15 m,Action
Last Men in Aleppo,2017-05-03,3.4,40,"Feras Fayyad 
    
      Steen Johannessen",1 h 23 m,Documentary
Henry: Portrait of a Serial Killer,1990-01-05,7.2,24,John McNaughton,1 h 23 m,Biography
Spellbound,2003-04-30,7.3,12,Jeffrey Blitz,1 h 37 m,Documentary
Making Waves: The Art of Cinematic Sound,2019-10-25,6.5,6,Midge Costin,1 h 34 m,Documentary
Rabbit-Proof Fence,2002-11-29,7.8,29,Phillip Noyce,1 h 34 m,Adventure
Going Clear: Scientology and the Prison of Belief,2015-03-13,8.2,72,Alex Gibney,1 h 59 m,Documentary
My Dog Tulip,2010-09-01,6.8,16,"Paul Fierlinger 
    
      Sandra Fierlinger",1 h 23 m,Animation
White God,2015-03-27,7.2,55,Kornél Mundruczó,2 h 1 m,Adventure
Whale Rider,2003-06-06,6.7,42,Niki Caro,1 h 41 m,Drama
The Mill and the Cross,2011-09-14,6.6,20,Lech Majewski,1 h 32 m,Drama
Lean on Pete,2018-04-06,7.7,56,Andrew Haigh,2 h 1 m,Adventure
Claire's Camera,2018-03-09,6.4,10,Hong Sang-soo,1 h 9 m,Drama
Last and First Men,2021-12-10,6.4,12,Jóhann Jóhannsson,1 h 10 m,Fantasy
Bergman Island,2021-10-15,6.6,31,Mia Hansen-Løve,1 h 52 m,Comedy
Barbie,2023-07-21,5.0,2222,Greta Gerwig,1 h 54 m,Adventure
Minority Report,2002-06-21,7.2,498,Steven Spielberg,2 h 25 m,Action
We the Animals,2018-08-17,6.4,34,Jeremiah Zagar,1 h 34 m,Drama
Wild Rose,2019-06-21,8.2,110,Tom Harper,1 h 41 m,Drama
The Simpsons Movie,2007-07-27,8.0,489,David Silverman,1 h 27 m,Animation
Bring Me the Head of Alfredo Garcia,1974-08-07,7.8,5,Sam Peckinpah,1 h 52 m,Action
Boy and the World,2015-12-11,7.9,43,Alê Abreu,1 h 20 m,Animation
Babylon,2019-03-08,6.0,4,Franco Rosso,1 h 35 m,Drama
Babylon,2022-12-23,6.0,4,Franco Rosso,1 h 35 m,Drama
Finders Keepers,2015-09-25,6.5,4,"Bryan Carberry 
    
      Clay Tweel",1 h 22 m,Documentary
Room 237,2013-03-29,6.2,102,Rodney Ascher,1 h 42 m,Documentary
The Eternal Daughter,2022-12-02,6.8,18,Joanna Hogg,1 h 36 m,Drama
The Beast,2024-04-05,7.0,0,David Casademunt,1 h 32 m,Drama
Lady Chatterley,2007-06-22,5.0,13,Pascale Ferran,2 h 48 m,Drama
A Beautiful Day in the Neighborhood,2019-11-22,7.2,201,Marielle Heller,1 h 49 m,Biography
The Forty-Year-Old Version,2020-10-02,6.7,42,Radha Blank,2 h 9 m,Comedy
Compartment No. 6,2021-11-19,7.5,29,Juho Kuosmanen,1 h 47 m,Drama
7 Prisoners,2021-11-05,7.1,27,Alexandre Moratto,1 h 33 m,Crime
Irma Vep,1997-04-30,5.7,7,Olivier Assayas,1 h 39 m,Comedy
The Band's Visit,2008-02-08,7.1,14,Eran Kolirin,1 h 27 m,Comedy
Ham on Rye,2020-10-23,2.4,7,Tyler Taormina,1 h 25 m,Drama
Dead Man Walking,1995-12-29,7.4,71,Tim Robbins,2 h 2 m,Crime
Call Me Kuchu,2013-06-14,5.0,12,"Katherine Fairfax Wright 
    
      Malika Zouhali-Worrall",1 h 27 m,Documentary
Coraline,2009-02-06,8.6,647,Henry Selick,1 h 40 m,Animation
Children of a Lesser God,1986-10-03,7.4,11,Randa Haines,1 h 59 m,Drama
Berberian Sound Studio,2013-06-14,6.6,41,Peter Strickland,1 h 32 m,Drama
North Dallas Forty,1979-08-03,7.9,7,Ted Kotcheff,1 h 59 m,Comedy
Lorenzo's Oil,1992-12-30,8.2,17,George Miller,2 h 9 m,Biography
Mad God,2022-06-16,6.8,51,Phil Tippett,1 h 23 m,Animation
Tokyo Sonata,2009-03-13,6.8,28,Kiyoshi Kurosawa,2 h,Drama
Il Futuro,2013-09-06,6.3,10,Alicia Scherson,1 h 34 m,Drama
Tristram Shandy: A Cock and Bull Story,2006-01-27,6.0,11,Michael Winterbottom,1 h 34 m,Comedy
"Good Night, and Good Luck.",2005-10-07,7.0,86,George Clooney,1 h 33 m,Biography
The Survivalist,2017-05-19,6.4,33,Stephen Fingleton,1 h 44 m,Drama
David Crosby: Remember My Name,2019-07-19,7.5,6,A.J. Eaton,1 h 35 m,Documentary
Aquarela,2019-08-16,5.7,11,Victor Kossakovsky,1 h 29 m,Documentary
The Pearl Button,2015-10-23,8.2,6,Patricio Guzmán,1 h 22 m,Documentary
Deep Water,2007-08-24,6.4,12,"Louise Osmond 
    
      Jerry Rothwell",1 h 32 m,Documentary
Deep Water,2022-03-18,6.4,12,"Louise Osmond 
    
      Jerry Rothwell",1 h 32 m,Documentary
The Force,2017-09-22,4.2,5,Peter Nicks,"
        https://www.kinolorber.com/film/theforce
        ",Documentary
Lorna's Silence,2009-07-31,7.3,12,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 45 m,Drama
The Day of the Jackal,1973-07-30,7.3,21,Fred Zinnemann,2 h 23 m,Crime
Holiday,2019-02-08,8.5,0,A.R. Murugadoss,2 h 50 m,Action
I Am Not a Witch,2018-09-07,7.4,13,Rungano Nyoni,1 h 33 m,Comedy
Deliverance,1972-07-21,7.6,45,John Boorman,1 h 49 m,Adventure
Clouds of Sils Maria,2015-04-10,7.1,100,Olivier Assayas,2 h 4 m,Drama
Jezebel,2020-01-17,6.8,4,Numa Perrier,1 h 28 m,Drama
Demon,2016-09-09,6.2,34,Marcin Wrona,1 h 34 m,Comedy
Gasoline Rainbow,2024-05-10,4.5,11,"Bill Ross IV 
    
      Turner Ross",1 h 48 m,Adventure
Light From Light,2019-11-01,7.3,4,Paul Harrill,1 h 22 m,Drama
Too Late to Die Young,2019-05-31,7.8,5,Dominga Sotomayor,1 h 50 m,Drama
The Nature of Love,2024-07-05,6.2,6,Monia Chokri,1 h 51 m,Comedy
Goodbye First Love,2012-04-20,6.7,15,Mia Hansen-Løve,1 h 50 m,Drama
Little Miss Sunshine,2006-07-26,7.6,361,"Jonathan Dayton 
    
      Valerie Faris",1 h 41 m,Comedy
The Endless,2018-04-06,7.2,133,"Justin Benson 
    
      Aaron Moorhead",1 h 51 m,Drama
All Is Well,2019-06-06,4.3,6,Eva Trobisch,1 h 30 m,Drama
Liyana,2018-10-10,7.0,4,"Aaron Kopp 
    
      Amanda Kopp",1 h 17 m,Documentary
Tarzan,1999-06-18,7.8,260,"Chris Buck 
    
      Kevin Lima",1 h 28 m,Animation
The Four Times (Le Quattro Volte),2011-03-30,6.7,10,Michelangelo Frammartino,1 h 28 m,Drama
The Box,2022-11-11,2.2,209,Richard Kelly,1 h 55 m,Drama
The Box,2009-11-06,2.2,209,Richard Kelly,1 h 55 m,Drama
The War of the Roses,1989-12-01,8.6,96,Danny DeVito,1 h 56 m,Comedy
Linoleum,2023-02-24,7.3,15,Colin West,1 h 41 m,Drama
The Other Side of the Wind,2018-11-02,7.9,37,Orson Welles,2 h 2 m,Drama
Cow,2022-04-08,6.8,11,Andrea Arnold,1 h 33 m,Documentary
West of Memphis,2012-12-25,7.1,24,Amy Berg,2 h 27 m,Documentary
Last Resort,2001-02-23,7.0,5,Pawel Pawlikowski,1 h 13 m,Drama
"Arabian Nights: Volume 3, The Enchanted One",2015-12-18,6.5,6,Miguel Gomes,2 h 5 m,Drama
Wildlife,2018-10-19,7.3,92,Paul Dano,1 h 45 m,Drama
Fever Heat [re-release],2001-07-27,6.1,9,Jean-Pierre Melville,1 h 38 m,Crime
Get Carter,1971-03-18,8.5,155,Stephen Kay,1 h 42 m,Action
Get Carter,2000-10-06,8.5,155,Stephen Kay,1 h 42 m,Action
Frost/Nixon,2008-12-05,7.9,122,Ron Howard,2 h 2 m,Biography
MASH,1970-01-25,7.1,77,Robert Altman,1 h 56 m,Comedy
Senna,2011-08-12,8.2,107,Asif Kapadia,1 h 46 m,Documentary
The Lost Leonardo,2021-08-13,7.4,7,Andreas Koefoed,1 h 30 m,Documentary
Mickey and the Bear,2019-11-13,6.7,7,Annabelle Attanasio,1 h 28 m,Drama
"Monsters, Inc.",2001-11-02,8.6,755,"Pete Docter 
    
      David Silverman 
    
      Lee Unkrich",1 h 32 m,Animation
Time Bandits,1981-11-06,6.9,24,Terry Gilliam,1 h 56 m,Adventure
Beyond the Hills,2013-03-08,7.8,24,Cristian Mungiu,2 h 30 m,Drama
Wife of a Spy,2021-09-17,6.6,8,Kiyoshi Kurosawa,1 h 55 m,Drama
Glen Campbell: I'll Be Me,2014-10-24,7.7,6,James Keach,1 h 56 m,Documentary
"Orlando, My Political Biography",2023-11-10,2.5,4,Paul B. Preciado,1 h 39 m,Documentary
Working Woman,2019-03-29,6.5,4,Michal Aviad,1 h 33 m,Drama
The Sessions,2012-10-19,7.6,103,Ben Lewin,1 h 35 m,Biography
Mank,2020-11-13,6.5,282,David Fincher,2 h 11 m,Biography
March of the Penguins,2005-06-24,7.6,49,Luc Jacquet,1 h 20 m,Documentary
Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,6.4,67,Evgeny Afineevsky,1 h 42 m,Documentary
Jonestown: The Life and Death of Peoples Temple,2006-10-20,7.2,6,Stanley Nelson,1 h 26 m,Documentary
Oasis,2004-05-07,7.9,10,Lee Chang-dong,2 h 13 m,Drama
Annihilation,2018-02-23,7.1,1017,Alex Garland,1 h 55 m,Adventure
City of God,2003-01-17,8.7,535,"Fernando Meirelles 
    
      Kátia Lund",2 h 10 m,Crime
Pariah,2011-12-28,6.6,28,Dee Rees,1 h 26 m,Drama
Red Rock West,1994-04-08,8.3,14,John Dahl,1 h 38 m,Crime
She's Gotta Have It,1986-08-08,6.2,15,Spike Lee,1 h 24 m,Comedy
Pride,2014-09-26,2.3,4,Sunu Gonera,1 h 44 m,Drama
Pride,2007-03-23,2.3,4,Sunu Gonera,1 h 44 m,Drama
Ava,2018-04-27,6.0,6,Léa Mysius,1 h 45 m,Drama
Ava,2020-09-25,6.0,6,Léa Mysius,1 h 45 m,Drama
Hotel Rwanda,2004-12-22,8.3,223,Terry George,2 h 1 m,Biography
Eureka,2001-05-04,5.8,5,Shinji Aoyama,3 h 37 m,Drama
Eureka,1984-10-05,5.8,5,Shinji Aoyama,3 h 37 m,Drama
Midnight Traveler,2019-09-18,7.0,5,Hassan Fazili,1 h 28 m,Documentary
Cyrano de Bergerac,1990-12-01,6.9,11,Jean-Paul Rappeneau,2 h 17 m,Comedy
Funan,2019-06-07,6.8,6,Denis Do,1 h 24 m,Animation
Joan Rivers: A Piece of Work,2010-06-11,7.7,24,"Ricki Stern 
    
      Anne Sundberg",1 h 24 m,Documentary
Baran,2001-12-07,6.6,24,Majid Majidi,1 h 34 m,Drama
High Fidelity,2000-03-31,8.4,166,Stephen Frears,1 h 53 m,Comedy
The Black Panthers: Vanguard of the Revolution,2015-09-02,6.0,13,Stanley Nelson,1 h 55 m,Documentary
Coriolanus,2011-12-02,6.9,74,Ralph Fiennes,2 h 2 m,Drama
Nowhere Special,2024-04-26,6.0,4,Uberto Pasolini,1 h 36 m,Drama
It Ain't Over,2023-05-12,6.6,5,Sean Mullin,1 h 38 m,Documentary
Dìdi,2024-07-26,6.1,18,Sean Wang,1 h 31 m,Comedy
A House Made of Splinters,2023-02-21,9.4,84,Simon Lereng Wilmont,1 h 27 m,Documentary
A Most Violent Year,2014-12-31,7.0,223,J.C. Chandor,2 h 5 m,Action
An Easy Girl,2020-08-13,6.4,16,Rebecca Zlotowski,1 h 32 m,Comedy
Io Capitano,2024-02-23,7.6,28,Matteo Garrone,2 h 1 m,Drama
Animal House,1978-07-28,7.5,102,John Landis,1 h 49 m,Comedy
Gone Girl,2014-10-03,8.2,1598,David Fincher,2 h 29 m,Drama
Mountains May Depart,2016-02-12,7.5,18,Zhangke Jia,2 h 11 m,Drama
The Central Park Five,2012-11-23,8.0,22,"Ken Burns 
    
      Sarah Burns 
    
      David McMahon",1 h 59 m,Documentary
Kinsey,2004-11-12,4.9,63,Bill Condon,1 h 58 m,Biography
"Christmas, Again",2015-12-03,7.8,9,Charles Poekel,Not Rated,Drama
Sami Blood,2017-06-02,6.7,10,Amanda Kernell,1 h 50 m,Drama
Flux Gourmet,2022-06-24,5.7,10,Peter Strickland,1 h 51 m,Comedy
Gabrielle,2006-07-14,4.6,7,Patrice Chéreau,1 h 30 m,Drama
Gabrielle,2014-07-04,4.6,7,Patrice Chéreau,1 h 30 m,Drama
War Photographer,2002-06-19,7.0,4,Christian Frei,1 h 36 m,Documentary
Sexy Beast,2001-06-13,7.8,48,Jonathan Glazer,1 h 29 m,Crime
Madadayo,2000-09-01,6.8,17,"Akira Kurosawa 
    
      Ishirô Honda",2 h 14 m,Drama
Policeman,2014-06-13,6.5,11,Nadav Lapid,1 h 45 m,Drama
Copa 71,2024-06-21,6.6,5,"James Erskine 
    
      Rachel Ramsay",1 h 30 m,Documentary
Harvard Beats Yale 29-29,2008-11-19,6.8,5,Kevin Rafferty,1 h 45 m,Documentary
Ahed's Knee,2022-03-18,7.8,5,Nadav Lapid,1 h 49 m,Drama
Dear White People,2014-10-17,4.3,156,Justin Simien,1 h 48 m,Comedy
Nosferatu the Vampyre,1979-10-01,7.8,28,Werner Herzog,1 h 47 m,Drama
Broken Flowers,2005-08-05,7.0,77,Jim Jarmusch,1 h 46 m,Comedy
Loving,2016-11-04,7.1,123,Jeff Nichols,2 h 3 m,Biography
Silence,2016-12-23,7.6,358,Martin Scorsese,2 h 41 m,Drama
November,2018-02-23,8.0,37,Greg Harrison,1 h 13 m,Drama
November,2005-07-22,8.0,37,Greg Harrison,1 h 13 m,Drama
I've Loved You So Long,2008-10-24,7.8,18,Philippe Claudel,1 h 57 m,Drama
The Crash Reel,2013-07-05,8.3,19,Lucy Walker,Not Rated,Documentary
Hitchcock/Truffaut,2015-12-02,7.9,24,Kent Jones,1 h 19 m,Documentary
Science Fair,2018-09-14,7.8,8,"Cristina Costantini 
    
      Darren Foster",1 h 30 m,Documentary
The Order of Myths,2008-07-25,3.0,4,Margaret Brown,1 h 37 m,Documentary
Hotel by the River,2019-02-15,7.0,8,Hong Sang-soo,1 h 36 m,Drama
Flags of Our Fathers,2006-10-20,6.9,122,Clint Eastwood,2 h 12 m,Action
Reprise,2008-05-16,7.2,13,Joachim Trier,1 h 45 m,Drama
Feels Good Man,2020-09-04,7.4,14,Arthur Jones,1 h 32 m,Documentary
What Time Is It Over There?,2002-01-11,5.3,9,Ming-liang Tsai,1 h 56 m,Drama
Guillermo Del Toro’s Pinocchio,2022-11-09,8.1,264,"Guillermo del Toro 
    
      Mark Gustafson",1 h 57 m,Animation
The Winslow Boy,1999-04-30,7.1,8,David Mamet,1 h 44 m,Drama
La Llorona,2020-08-06,7.1,16,Jayro Bustamante,1 h 36 m,Crime
The Pigeon Tunnel,2023-10-20,7.0,10,Errol Morris,1 h 32 m,Documentary
Night Comes On,2018-08-03,6.7,11,Jordana Spiro,1 h 26 m,Drama
Dune: Part Two,2024-03-01,8.3,1282,Denis Villeneuve,3 h 15 m,Action
Drive,2011-09-16,8.2,1743,Nicolas Winding Refn,1 h 40 m,Action
Deep Sea,2006-03-03,5.3,13,Howard Hall,41 m,Documentary
The American Friend,1977-09-24,7.7,9,Wim Wenders,2 h 5 m,Crime
The Fighter,2010-12-10,8.1,512,David O. Russell,1 h 55 m,Action
Jodorowsky's Dune,2014-03-21,8.2,67,Frank Pavich,1 h 30 m,Documentary
The Five Obstructions,2004-05-26,6.9,11,"Jørgen Leth 
    
      Lars von Trier",1 h 30 m,Documentary
Beasts of No Nation,2015-10-16,8.1,251,Cary Joji Fukunaga,2 h 17 m,Drama
Wings of Desire,1988-05-06,7.8,97,Wim Wenders,2 h 8 m,Drama
Gandhi,1983-02-25,7.6,62,Richard Attenborough,3 h 11 m,Biography
Tu Dors Nicole,2015-05-29,6.6,9,Stéphane Lafleur,1 h 33 m,Comedy
Iron Monkey,2001-10-12,8.1,47,Woo-Ping Yuen,1 h 25 m,Action
Petrov's Flu,2022-09-23,6.9,10,Kirill Serebrennikov,2 h 25 m,Drama
An Angel at My Table,1990-10-04,7.8,4,Jane Campion,2 h 38 m,Biography
Quest for Fire,1982-02-12,7.2,9,Jean-Jacques Annaud,1 h 40 m,Adventure
Monster,2023-11-22,7.5,140,Patty Jenkins,1 h 49 m,Biography
Monster,2003-12-24,7.5,140,Patty Jenkins,1 h 49 m,Biography
Monster,2021-05-07,7.5,140,Patty Jenkins,1 h 49 m,Biography
The Ballad of Buster Scruggs,2018-11-09,7.4,342,"Ethan Coen 
    
      Joel Coen",2 h 13 m,Comedy
Godzilla,2004-05-07,8.1,112,Ishirô Honda,1 h 38 m,Horror
Godzilla,2014-05-16,8.1,112,Ishirô Honda,1 h 38 m,Horror
Disclosure,2020-06-19,7.1,47,Barry Levinson,2 h 8 m,Drama
Disclosure,1994-12-09,7.1,47,Barry Levinson,2 h 8 m,Drama
The Visitor,2008-04-11,7.9,36,Tom McCarthy,1 h 44 m,Drama
Green Room,2016-04-15,7.2,341,Jeremy Saulnier,1 h 35 m,Crime
The First Slam Dunk,2023-07-28,8.3,26,Takehiko Inoue,2 h 4 m,Animation
Family Plot,1976-04-09,7.7,14,Alfred Hitchcock,2 h,Comedy
Iron Man,2008-05-02,8.6,2251,Jon Favreau,2 h 6 m,Action
Silent Light,2009-01-07,7.5,11,Carlos Reygadas,2 h 16 m,Drama
Deceptive Practices: The Mysteries and Mentors of Ricky Jay,2013-04-17,8.4,5,Molly Bernstein,1 h 28 m,Documentary
Control Room,2004-05-21,7.2,6,Jehane Noujaim,1 h 24 m,Documentary
How to Have Sex,2024-02-02,5.7,24,Molly Manning Walker,1 h 38 m,Drama
Only Lovers Left Alive,2014-04-11,7.4,217,Jim Jarmusch,2 h 3 m,Comedy
The People vs. Larry Flynt,1996-12-25,8.4,132,Milos Forman,2 h 9 m,Biography
The Three Musketeers - Part I: D'Artagnan,2023-12-08,7.0,23,Martin Bourboulon,2 h 1 m,Action
In a World...,2013-08-09,6.6,88,Lake Bell,1 h 33 m,Comedy
Terms of Endearment,1983-11-23,7.3,63,James L. Brooks,2 h 12 m,Comedy
Selma,2014-12-25,7.2,450,Ava DuVernay,2 h 8 m,Biography
Furiosa: A Mad Max Saga,2024-05-24,7.3,538,George Miller,2 h 28 m,Action
Poltergeist,1982-06-04,3.6,266,Gil Kenan,1 h 33 m,Horror
Poltergeist,2015-05-22,3.6,266,Gil Kenan,1 h 33 m,Horror
Thunder Road,2018-10-12,7.0,46,Jim Cummings,1 h 32 m,Comedy
Tabu,2012-12-26,6.4,16,Miguel Gomes,1 h 58 m,Drama
Walking Out,2017-10-06,5.7,24,"Alex Smith 
    
      Andrew J. Smith",1 h 35 m,Adventure
The Assistant,2020-01-31,5.3,98,Kitty Green,1 h 27 m,Drama
A Shaun the Sheep Movie: Farmageddon,2020-02-14,7.2,47,"Will Becher 
    
      Richard Phelan",1 h 26 m,Animation
Underground,1997-06-20,8.4,15,Emir Kusturica,2 h 50 m,Comedy
Dawn of the Planet of the Apes,2014-07-11,8.2,1390,Matt Reeves,2 h 10 m,Action
The Untouchables,1987-06-03,8.5,243,Brian De Palma,1 h 59 m,Crime
IMAX: Hubble 3D,2010-03-19,7.6,14,Toni Myers,40 m,Documentary
Kokomo City,2023-07-28,7.3,9,D. Smith,1 h 13 m,Documentary
Dead Poets Society,1989-06-16,8.3,294,Peter Weir,2 h 8 m,Comedy
Into the Arms of Strangers: Stories of the Kindertransport,2000-09-15,7.2,5,Mark Jonathan Harris,2 h 2 m,Documentary
Affliction,1998-12-30,7.8,28,Paul Schrader,1 h 54 m,Drama
The Piano Teacher,2002-03-29,8.3,84,Michael Haneke,2 h 11 m,Drama
Hustlers,2019-09-13,7.5,449,Lorene Scafaria,1 h 50 m,Comedy
Let the Sunshine In,2018-04-27,6.0,33,Claire Denis,1 h 34 m,Comedy
Life of Pi,2012-11-21,7.9,943,Ang Lee,2 h 7 m,Adventure
Let Me In,2010-10-01,8.4,505,Matt Reeves,1 h 56 m,Drama
For Those in Peril,2014-10-03,6.5,4,Paul Wright,1 h 32 m,Drama
Fences,2016-12-16,7.3,273,Denzel Washington,2 h 19 m,Drama
Kimi,2022-02-10,6.1,118,Steven Soderbergh,1 h 29 m,Crime
The Witness,2016-06-03,6.1,10,"James D. Solomon 
    
      Jessica Robinson",1 h 29 m,Documentary
Miss Bala,2011-10-14,6.9,26,Gerardo Naranjo,1 h 53 m,Action
Miss Bala,2019-02-01,6.9,26,Gerardo Naranjo,1 h 53 m,Action
Fill the Void,2013-05-24,6.4,16,Rama Burshtein,1 h 30 m,Drama
Keep the Lights On,2012-09-07,7.8,23,Ira Sachs,1 h 41 m,Drama
Suspiria,1977-08-12,7.7,115,Dario Argento,1 h 38 m,Horror
